Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-0.986667,-1.92187477089465,
,,,-0.986635,-1.92187477089465,
,,,-0.986603,-1.92187477089465,
,,,-0.986571,-1.92187477089465,
,,,-0.986539,-1.92187477089465,
,,,-0.986507,-1.92187477089465,
,,,-0.986475,-1.92187477089465,
,,,-0.986443,-1.92187477089465,
,,,-0.986411,-1.92187477089465,
,,,-0.986379,-1.92187477089465,
,,,-0.986347,-1.92187477089465,
,,,-0.986315,-1.92187477089465,
,,,-0.986283,-1.92187477089465,
,,,-0.986251,-1.92187477089465,
,,,-0.986219,-1.92187477089465,
,,,-0.986187,-1.92187477089465,
,,,-0.986155,-1.92187477089465,
,,,-0.986123,-1.92187477089465,
,,,-0.986091,-1.92187477089465,
,,,-0.986059,-1.92187477089465,
,,,-0.986027,-1.92187477089465,
,,,-0.985995,-1.92187477089465,
,,,-0.985963,-1.92187477089465,
,,,-0.985931,-1.92187477089465,
,,,-0.985899,-1.92187477089465,
,,,-0.985867,-1.92187477089465,
,,,-0.985835,-1.92187477089465,
,,,-0.985803,-1.92187477089465,
,,,-0.985771,-1.92187477089465,
,,,-0.985739,-1.92187477089465,
,,,-0.985707,-1.92187477089465,
,,,-0.985675,-1.92187477089465,
,,,-0.985643,-1.92187477089465,
,,,-0.985611,-1.92187477089465,
,,,-0.985579,-1.92187477089465,
,,,-0.985547,-1.92187477089465,
,,,-0.985515,-1.92187477089465,
,,,-0.985483,-1.92187477089465,
,,,-0.985451,-1.92187477089465,
,,,-0.985419,-1.92187477089465,
,,,-0.985387,-1.92187477089465,
,,,-0.985355,-1.92187477089465,
,,,-0.985323,-1.92187477089465,
,,,-0.985291,-1.92187477089465,
,,,-0.985259,-1.92187477089465,
,,,-0.985227,-1.92187477089465,
,,,-0.985195,-1.92187477089465,
,,,-0.985163,-1.92187477089465,
,,,-0.985131,-1.92187477089465,
,,,-0.985099,-1.92187477089465,
,,,-0.985067,-1.92187477089465,
,,,-0.985035,-1.92187477089465,
,,,-0.985003,-1.92187477089465,
,,,-0.984971,-1.92187477089465,
,,,-0.984939,-1.92187477089465,
,,,-0.984907,-1.92187477089465,
,,,-0.984875,-1.92187477089465,
,,,-0.984843,-1.92187477089465,
,,,-0.984811,-1.92187477089465,
,,,-0.984779,-1.92187477089465,
,,,-0.984747,-1.92187477089465,
,,,-0.984715,-1.92187477089465,
,,,-0.984683,-1.92187477089465,
,,,-0.984651,-1.92187477089465,
,,,-0.984619,-1.92187477089465,
,,,-0.984587,-1.92187477089465,
,,,-0.984555,-1.92187477089465,
,,,-0.984523,-1.92187477089465,
,,,-0.984491,-1.92187477089465,
,,,-0.984459,-1.92187477089465,
,,,-0.984427,-1.92187477089465,
,,,-0.984395,-1.92187477089465,
,,,-0.984363,-1.92187477089465,
,,,-0.984331,-1.92187477089465,
,,,-0.984299,-1.92187477089465,
,,,-0.984267,-1.92187477089465,
,,,-0.984235,-1.92187477089465,
,,,-0.984203,-1.92187477089465,
,,,-0.984171,-1.92187477089465,
,,,-0.984139,-1.92187477089465,
,,,-0.984107,-1.92187477089465,
,,,-0.984075,-1.92187477089465,
,,,-0.984043,-1.92187477089465,
,,,-0.984011,-1.92187477089465,
,,,-0.983979,-1.92187477089465,
,,,-0.983947,-1.92187477089465,
,,,-0.983915,-1.92187477089465,
,,,-0.983883,-1.92187477089465,
,,,-0.983851,-1.86328102787957,
,,,-0.983819,-1.8417966554407,
,,,-0.983787,-1.62304668151774,
,,,-0.983755,-1.52148419362493,
,,,-0.983723,-1.36132796271704,
,,,-0.983691,-1.32226546737365,
,,,-0.983659,-1.20117173180915,
,,,-0.983627,-1.18164048413746,
,,,-0.983595,-1.20117173180915,
,,,-0.983563,-1.16210923646577,
,,,-0.983531,-1.14257798879407,
,,,-0.983499,-1.10156236868352,
,,,-0.983467,-1.14257798879407,
,,,-0.983435,-1.08203112101182,
,,,-0.983403,-1.08203112101182,
,,,-0.983371,-1.06249987334013,
,,,-0.983339,-1.04101550090127,
,,,-0.983307,-1.02148425322957,
,,,-0.983275,-1.02148425322957,
,,,-0.983243,-1.02148425322957,
,,,-0.983211,-1.04101550090127,
,,,-0.983179,-1.00195300555788,
,,,-0.983147,-0.960937385447323,
,,,-0.983115,-0.94140613777563,
,,,-0.983083,-0.94140613777563,
,,,-0.983051,-0.902343642432243,
,,,-0.983019,-0.921874890103936,
,,,-0.982987,-0.88085926999338,
,,,-0.982955,-0.861328022321686,
,,,-0.982923,-0.88085926999338,
,,,-0.982891,-0.88085926999338,
,,,-0.982859,-0.88085926999338,
,,,-0.982827,-0.841796774649993,
,,,-0.982795,-0.841796774649993,
,,,-0.982763,-0.861328022321686,
,,,-0.982731,-0.822265526978299,
,,,-0.982699,-0.88085926999338,
,,,-0.982667,-0.982421757886186,
,,,-0.982635,-1.02148425322957,
,,,-0.982603,-1.16210923646577,
,,,-0.982571,-1.2617185995914,
,,,-0.982539,-1.3828123351559,
,,,-0.982507,-1.42187483049929,
,,,-0.982475,-1.54296856606379,
,,,-0.982443,-1.70312479697168,
,,,-0.982411,-1.76171853998676,
,,,-0.982379,-1.88281227555126,
,,,-0.982347,-1.74218729231507,
,,,-0.982315,-1.60156230907887,
,,,-0.982283,-1.46289045060985,
,,,-0.982251,-1.72265604464337,
,,,-0.982219,-1.90234352322295,
,,,-0.982187,-1.92187477089465,
,,,-0.982155,-1.92187477089465,
,,,-0.982123,-1.92187477089465,
,,,-0.982091,-1.92187477089465,
,,,-0.982059,-1.92187477089465,
,,,-0.982027,-1.92187477089465,
,,,-0.981995,-1.92187477089465,
,,,-0.981963,-1.92187477089465,
,,,-0.981931,-1.92187477089465,
,,,-0.981899,-1.92187477089465,
,,,-0.981867,-1.92187477089465,
,,,-0.981835,-1.92187477089465,
,,,-0.981803,-1.92187477089465,
,,,-0.981771,-1.92187477089465,
,,,-0.981739,-1.92187477089465,
,,,-0.981707,-1.92187477089465,
,,,-0.981675,-1.92187477089465,
,,,-0.981643,-1.92187477089465,
,,,-0.981611,-1.92187477089465,
,,,-0.981579,-1.92187477089465,
,,,-0.981547,-1.92187477089465,
,,,-0.981515,-1.92187477089465,
,,,-0.981483,-1.92187477089465,
,,,-0.981451,-1.92187477089465,
,,,-0.981419,-1.92187477089465,
,,,-0.981387,-1.92187477089465,
,,,-0.981355,-1.92187477089465,
,,,-0.981323,-1.92187477089465,
,,,-0.981291,-1.92187477089465,
,,,-0.981259,-1.92187477089465,
,,,-0.981227,-1.92187477089465,
,,,-0.981195,-1.92187477089465,
,,,-0.981163,-1.92187477089465,
,,,-0.981131,-1.92187477089465,
,,,-0.981099,-1.92187477089465,
,,,-0.981067,-1.92187477089465,
,,,-0.981035,-1.92187477089465,
,,,-0.981003,-1.92187477089465,
,,,-0.980971,-1.92187477089465,
,,,-0.980939,-1.92187477089465,
,,,-0.980907,-1.92187477089465,
,,,-0.980875,-1.92187477089465,
,,,-0.980843,-1.92187477089465,
,,,-0.980811,-1.92187477089465,
,,,-0.980779,-1.92187477089465,
,,,-0.980747,-1.92187477089465,
,,,-0.980715,-1.92187477089465,
,,,-0.980683,-1.92187477089465,
,,,-0.980651,-1.92187477089465,
,,,-0.980619,-1.92187477089465,
,,,-0.980587,-1.92187477089465,
,,,-0.980555,-1.92187477089465,
,,,-0.980523,-1.92187477089465,
,,,-0.980491,-1.92187477089465,
,,,-0.980459,-1.92187477089465,
,,,-0.980427,-1.92187477089465,
,,,-0.980395,-1.92187477089465,
,,,-0.980363,-1.92187477089465,
,,,-0.980331,-1.92187477089465,
,,,-0.980299,-1.92187477089465,
,,,-0.980267,-1.92187477089465,
,,,-0.980235,-1.92187477089465,
,,,-0.980203,-1.92187477089465,
,,,-0.980171,-1.92187477089465,
,,,-0.980139,-1.92187477089465,
,,,-0.980107,-1.92187477089465,
,,,-0.980075,-1.92187477089465,
,,,-0.980043,-1.92187477089465,
,,,-0.980011,-1.92187477089465,
,,,-0.979979,-1.92187477089465,
,,,-0.979947,-1.92187477089465,
,,,-0.979915,-1.92187477089465,
