Address:,USB0::0x0957::0x179A::MY62160698::0::INSTR,,Function Channels,,
Model:,DSO-X 2004A,,Time (s),M1,
,,,-0.986315,-1.92187477089465,
,,,-0.986283,-1.92187477089465,
,,,-0.986251,-1.92187477089465,
,,,-0.986219,-1.92187477089465,
,,,-0.986187,-1.92187477089465,
,,,-0.986155,-1.92187477089465,
,,,-0.986123,-1.92187477089465,
,,,-0.986091,-1.92187477089465,
,,,-0.986059,-1.92187477089465,
,,,-0.986027,-1.92187477089465,
,,,-0.985995,-1.92187477089465,
,,,-0.985963,-1.92187477089465,
,,,-0.985931,-1.92187477089465,
,,,-0.985899,-1.92187477089465,
,,,-0.985867,-1.92187477089465,
,,,-0.985835,-1.92187477089465,
,,,-0.985803,-1.92187477089465,
,,,-0.985771,-1.92187477089465,
,,,-0.985739,-1.92187477089465,
,,,-0.985707,-1.92187477089465,
,,,-0.985675,-1.92187477089465,
,,,-0.985643,-1.92187477089465,
,,,-0.985611,-1.92187477089465,
,,,-0.985579,-1.92187477089465,
,,,-0.985547,-1.92187477089465,
,,,-0.985515,-1.92187477089465,
,,,-0.985483,-1.92187477089465,
,,,-0.985451,-1.92187477089465,
,,,-0.985419,-1.92187477089465,
,,,-0.985387,-1.92187477089465,
,,,-0.985355,-1.92187477089465,
,,,-0.985323,-1.92187477089465,
,,,-0.985291,-1.92187477089465,
,,,-0.985259,-1.92187477089465,
,,,-0.985227,-1.92187477089465,
,,,-0.985195,-1.92187477089465,
,,,-0.985163,-1.92187477089465,
,,,-0.985131,-1.92187477089465,
,,,-0.985099,-1.92187477089465,
,,,-0.985067,-1.92187477089465,
,,,-0.985035,-1.92187477089465,
,,,-0.985003,-1.92187477089465,
,,,-0.984971,-1.92187477089465,
,,,-0.984939,-1.92187477089465,
,,,-0.984907,-1.92187477089465,
,,,-0.984875,-1.92187477089465,
,,,-0.984843,-1.92187477089465,
,,,-0.984811,-1.92187477089465,
,,,-0.984779,-1.92187477089465,
,,,-0.984747,-1.92187477089465,
,,,-0.984715,-1.92187477089465,
,,,-0.984683,-1.92187477089465,
,,,-0.984651,-1.92187477089465,
,,,-0.984619,-1.92187477089465,
,,,-0.984587,-1.92187477089465,
,,,-0.984555,-1.92187477089465,
,,,-0.984523,-1.92187477089465,
,,,-0.984491,-1.92187477089465,
,,,-0.984459,-1.92187477089465,
,,,-0.984427,-1.92187477089465,
,,,-0.984395,-1.92187477089465,
,,,-0.984363,-1.92187477089465,
,,,-0.984331,-1.92187477089465,
,,,-0.984299,-1.92187477089465,
,,,-0.984267,-1.92187477089465,
,,,-0.984235,-1.92187477089465,
,,,-0.984203,-1.92187477089465,
,,,-0.984171,-1.92187477089465,
